id,texto,author_id
1638781839551635458,RT @eutauat: Lula deu uma aula de civilidade política em Pernambuco hoje. https://t.co/bkqqudwPkF,
1638781727115030530,RT @senadorhumberto: Lula: “Nunca na história de Pernambuco tivemos um presidente assinando tantos convênios e projetos e repassando tanto…,
1638781650422095873,"RT @Metropoles: Lula repreende apoiadores que vaiaram Raquel Lyra em Pernambuco. “Adversário político não é inimigo”.

Petista afirmou que…",
1638781540686520320,"RT @Metropoles: Lula repreende apoiadores que vaiaram Raquel Lyra em Pernambuco. “Adversário político não é inimigo”.

Petista afirmou que…",
1638781519924699137,"RT @Metropoles: Lula repreende apoiadores que vaiaram Raquel Lyra em Pernambuco. “Adversário político não é inimigo”.

Petista afirmou que…",
1638781323039875073,"RT @SpaceLiberdade: 🚨🇧🇷🏝️Lula assina contrato para gestão compartilhada de Fernando de Noronha‼️

Lula esteve nesta quarta-feira (22) com a…",
1638781267842932737,RT @senadorhumberto: A alegria de trazer @LulaOficial  de volta a Pernambuco. É a primeira vez dele no Estado desde que se tornou president…,
1638781053123850241,"RT @senadorhumberto: Pernambuco dá boas-vindas ao presidente Lula. Com união e reconstrução, o Brasil vai avançar. Vamos juntos! 🇧🇷 Foto: @…",
1638781037366087680,RT @eutauat: Lula deu uma aula de civilidade política em Pernambuco hoje. https://t.co/bkqqudwPkF,
1638780960832651264,RT @eutauat: Lula deu uma aula de civilidade política em Pernambuco hoje. https://t.co/bkqqudwPkF,
1638780915886292992,RT @eutauat: Lula deu uma aula de civilidade política em Pernambuco hoje. https://t.co/bkqqudwPkF,
1638780893555990530,"RT @Metropoles: Lula repreende apoiadores que vaiaram Raquel Lyra em Pernambuco. “Adversário político não é inimigo”.

Petista afirmou que…",
1638780646569984001,"Investigadores apontam que criminosos monitoraram rotina de Moro e família desde Janeiro 
https://t.co/WaEt6CHRqB
Siga nosso perfil no instagram @rotadosertao12 e fique por dentro das principais notícias de Alagoas, Sergipe, Bahia e Pernambuco. https://t.co/udFzWnaPMy",
1638780363412582400,"RT @centralpolitcs: ❌ Lula repreende apoiadores que vaiaram Raquel Lyra em Pernambuco. “Adversário político não é inimigo”.

Via @Metropole…",
1638780284614381568,"@cardosocnc Qualquer coisa que você faz hoje, em busca de qualquer tipo de lazer, vai gastar R$100. Principalmente se envolver a compra de álcool e/ou comida. Esse não é um privilégio do futebol e, muito menos, de Pernambuco. Diga-se, Pernambuco ainda é um dos mais em conta.",
1638780138937516033,"RT @Metropoles: Lula repreende apoiadores que vaiaram Raquel Lyra em Pernambuco. “Adversário político não é inimigo”.

Petista afirmou que…",
1638779619221331969,@sportboomers maior clássico de pernambuco,
1638779517270384640,RT @senadorhumberto: Lula: “Nunca na história de Pernambuco tivemos um presidente assinando tantos convênios e projetos e repassando tanto…,
1638779029363859457,"Apartment Tour in Porto De Galinhas✨ #portodegalinhas #brazil #airbnb #pernambuco #recife #southamerica #latam #travel #travelblogger #digitalnomad #roomtour #apartmenttour #condotour #adventure 

Watch here: https://t.co/4w3OmeFtx2 https://t.co/Y5R3Ds9VqF",
1638778491305881600,"RT @raquellyra: Fernando de Noronha é de Pernambuco! Assinei hoje com o presidente @lulaoficial, no Palácio do Campo das Princesas, um acor…",
1638778444292018178,"RT @LulaOficial: Na assinatura do Acordo de Noronha, com a governadora @raquellyra. Fernando de Noronha pode contar com o governo federal t…",
1638778290105118720,"RT @siteptbr: 🚨 VEJA: Após governadora de Pernambuco(que ficou isenta nas eleições) ser vaiada por petistas, Lula intervém:

“Quando vocês…",
1638778252113199105,"RT @siteptbr: 🚨 VEJA: Após governadora de Pernambuco(que ficou isenta nas eleições) ser vaiada por petistas, Lula intervém:

“Quando vocês…",
1638778191081816064,@LulaOficial @raquellyra @ricardostuckert Eu apoio o governo Raquel Lyra em Pernambuco.,
1638778099469893632,"RT @siteptbr: 🚨 VEJA: Após governadora de Pernambuco(que ficou isenta nas eleições) ser vaiada por petistas, Lula intervém:

“Quando vocês…",
1638777700708917248,"RT @SpaceLiberdade: 🚨🇧🇷🏝️Lula assina contrato para gestão compartilhada de Fernando de Noronha‼️

Lula esteve nesta quarta-feira (22) com a…",
1638777605808873472,"@kimpaim O melhor, vaiado em Pernambuco. Segundo eles, maioria PT.",
1638777593083174912,RT @AlineGa02328466: @lolaescreva Dr. Olímpio é um das pessoas mais admiráveis da medicina em Pernambuco,
1638777522635816961,"Pernambuco: Projeto que estabelecer R$ 200 mil como cache máximo para  artista contratado  
Projeto de lei.
https://t.co/WaEt6CIpg9
Siga nosso perfil no instagram @rotadosertao12 e fique por dentro das principais notícias de Alagoas, Sergipe, Bahia e Pernambuco. https://t.co/mSXBGwCeV2",
1638777302485196801,"RT @LulaOficial: Na assinatura do Acordo de Noronha, com a governadora @raquellyra. Fernando de Noronha pode contar com o governo federal t…",
1638777286257446915,RT @eutauat: Lula deu uma aula de civilidade política em Pernambuco hoje. https://t.co/bkqqudwPkF,
1638777077779365891,RT @eutauat: Lula deu uma aula de civilidade política em Pernambuco hoje. https://t.co/bkqqudwPkF,
1638777066697965569,"RT @lolaescreva: Já o médico Olímpio venceu ação por danos morais contra um padre q o acusou de ""assassino"" por realizar aborto legal na me…",
1638776976348413952,RT @senadorhumberto: Lula: “Nunca na história de Pernambuco tivemos um presidente assinando tantos convênios e projetos e repassando tanto…,
1638776769942626304,RT @senadorhumberto: Lula de volta a Pernambuco! E já vem trazendo boas novas: está de volta o Programa Nacional de Aquisição de Alimentos.…,
1638776570620813312,"RT @LulaOficial: Digo ao Brasil, aqui em Pernambuco, que voltamos a governar o país para mudar mais uma vez a história. Quem nunca passou f…",
1638776293507358720,"RT @UOLNoticias: 🎥 Lula critica vaias à governadora de Pernambuco: ""Respeitem meus convidados"" https://t.co/nlZ6dLqgvE",
1638776278655418368,RT @Swwtpie: Vem ai sucrose scara e collei estudantes da rede estadual de pernambuco KKKKK (sugestão do @rockin0ver e @h4ithamsbf) https://…,
